match_id,season,match_name,home_team,away_team,venue,batting_innings,bowling_innings,Player_name,Starting_11,bowling_team_bowl,batting_team_bat,prev_runs,prev_balls,prev_sixes,prev_fours,prev_wickets,prev_conceded,prev_Overs_Bowled,prev_catches,prev_Dream Team,prev_Total_FP,prev_overs,prev_fielding_heroics,prev_duck,luck,Captain/Vice Captain
1,2008,CSK v DC,CSK,DC,"MA Chidambaram Stadium, Chepauk, Chennai",2.0,1.0,AB de Villiers,4.0,,DC,,,,,,,,,,,,,0,98,NC
2,2008,MI v DC,MI,DC,"Dr DY Patil Sports Academy, Mumbai",2.0,1.0,AB de Villiers,4.0,,DC,26.0,21.0,0.0,2.0,,,,,1.0,32.0,,,0,35,NC
3,2008,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",1.0,2.0,AB de Villiers,4.0,,DC,21.0,17.0,1.0,2.0,,,,1.0,0.0,37.0,,0.0,0,79,NC
4,2008,RR v DC,RR,DC,"Sawai Mansingh Stadium, Jaipur",1.0,2.0,AB de Villiers,4.0,,DC,0.0,1.0,0.0,0.0,,,,2.0,0.0,18.0,,0.0,1,33,NC
5,2008,KKR v DC,KKR,DC,"Eden Gardens, Kolkata",2.0,1.0,AB de Villiers,4.0,,DC,20.0,22.0,0.0,0.0,,,,0.0,1.0,36.0,,1.0,0,82,NC
6,2008,RCB v DC,RCB,DC,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,AB de Villiers,4.0,,DC,7.0,12.0,0.0,0.0,,,,0.0,0.0,13.0,,1.0,0,54,NC
7,2009,CSK v DC,CSK,DC,"Kingsmead, Durban",1.0,2.0,AB de Villiers,4.0,,DC,21.0,25.0,0.0,1.0,,,,,1.0,26.0,,,0,12,C
8,2009,RCB v DC,RCB,DC,"St George's Park, Port Elizabeth",2.0,1.0,AB de Villiers,4.0,,DC,105.0,54.0,6.0,5.0,,,,2.0,1.0,164.0,,0.0,0,65,NC
9,2009,DC v RR,DC,RR,"SuperSport Park, Centurion",1.0,2.0,AB de Villiers,4.0,,DC,21.0,23.0,0.0,0.0,,,,0.0,1.0,37.0,,1.0,0,71,NC
10,2009,SRH v DC,SRH,DC,"SuperSport Park, Centurion",2.0,1.0,AB de Villiers,4.0,,DC,50.0,40.0,1.0,5.0,,,,,1.0,69.0,,,0,70,NC
11,2009,CSK v DC,CSK,DC,"The Wanderers Stadium, Johannesburg",2.0,1.0,AB de Villiers,4.0,,DC,5.0,9.0,0.0,1.0,,,,2.0,0.0,26.0,,0.0,0,22,NC
